name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,date
New Zealand,NZL,NZD,4.35,1.64,,5/1/04
Norway,NOR,NOK,35.5,6.8491,,5/1/04
Pakistan,PAK,PKR,110,57.76,,5/1/04
Peru,PER,PEN,8.99,3.49,,5/1/04
Philippines,PHL,PHP,69,55.9,,5/1/04
Poland,POL,PLN,6.3,3.87,,5/1/04
Russia,RUS,RUB,42,29,,5/1/04
Saudi Arabia,SAU,SAR,2.4,3.7502,,5/1/04
Singapore,SGP,SGD,3.3,1.71,,5/1/04
South Africa,ZAF,ZAR,12.4,6.66,,5/1/04
South Korea,KOR,KRW,3200,1177,,5/1/04
Sri Lanka,LKA,LKR,140,99,,5/1/04
Sweden,SWE,SEK,30,7.61,,5/1/04
Switzerland,CHE,CHF,6.3,1.29,,5/1/04
Taiwan,TWN,TWD,75,33.4,,5/1/04
Thailand,THA,THB,59,40.8,,5/1/04
Turkey,TUR,TRY,3950000,1531000,,5/1/04
Ukraine,UKR,UAH,7.25,5.3315,,5/1/04
United States,USA,USD,2.9,1,,5/1/04
Uruguay,URY,UYU,29.8,29.735,,5/1/04
Venezuela,VEN,VEF,4400,2977,,5/1/04
Argentina,ARG,ARS,4.75,2.897,,6/1/05
Australia,AUS,AUD,3.25,1.3015,,6/1/05
Brazil,BRA,BRL,5.9,2.4648,,6/1/05
Britain,GBR,GBP,1.88,0.546448087,,6/1/05
Canada,CAN,CAD,3.28,1.2494,,6/1/05
Chile,CHL,CLP,1500,592.45,,6/1/05
China,CHN,CNY,10.5,8.2764,,6/1/05
Colombia,COL,COP,6500,2327.7,,6/1/05
Costa Rica,CRI,CRC,1130,475.3,,6/1/05
Czech Republic,CZE,CZK,56.42,24.5409,,6/1/05
Denmark,DNK,DKK,27.75,6.0647,,6/1/05
Egypt,EGY,EGP,9,5.8,,6/1/05
Euro area,EUZ,EUR,2.92,0.814929509,,6/1/05
Hong Kong,HKG,HKD,12,7.7807,,6/1/05
Hungary,HUN,HUF,530,203.643,,6/1/05
Indonesia,IDN,IDR,14600,9545,,6/1/05
Japan,JPN,JPY,250,106.715,,6/1/05
Malaysia,MYS,MYR,5.25,3.8,,6/1/05
Mexico,MEX,MXN,28,10.8675,,6/1/05
New Zealand,NZL,NZD,4.45,1.4023,,6/1/05
Norway,NOR,NOK,39,6.4326,,6/1/05
Pakistan,PAK,PKR,130,59.62,,6/1/05
Peru,PER,PEN,8.99,3.2546,,6/1/05
Philippines,PHL,PHP,80,54.55,,6/1/05
Poland,POL,PLN,6.5,3.3096,,6/1/05
Russia,RUS,RUB,42,28.4055,,6/1/05
Saudi Arabia,SAU,SAR,9,3.7501,,6/1/05
Singapore,SGP,SGD,3.6,1.6607,,6/1/05
South Africa,ZAF,ZAR,13.95,6.6482,,6/1/05
South Korea,KOR,KRW,2500,1005.5,,6/1/05
Sri Lanka,LKA,LKR,175,99.945,,6/1/05
Sweden,SWE,SEK,31,7.4402,,6/1/05
Switzerland,CHE,CHF,6.3,1.2475,,6/1/05
Taiwan,TWN,TWD,75,31.175,,6/1/05
Thailand,THA,THB,60,40.53,,6/1/05
Turkey,TUR,TRY,4,1.369,,6/1/05
UAE,ARE,AED,9,3.6725,,6/1/05
Ukraine,UKR,UAH,7.25,5.06,,6/1/05
United States,USA,USD,3.06,1,,6/1/05
Uruguay,URY,UYU,44,24.125,,6/1/05
Venezuela,VEN,VEF,5600,2629.62,,6/1/05
Argentina,ARG,ARS,4.75,3.0638,,1/1/06
Australia,AUS,AUD,3.25,1.3308,,1/1/06
Brazil,BRA,BRL,6.2,2.2615,,1/1/06
Britain,GBR,GBP,1.88,0.566925563,,1/1/06
Canada,CAN,CAD,3.52,1.1704,,1/1/06
Chile,CHL,CLP,1560,522.75,,1/1/06
China,CHN,CNY,10.5,8.0641,,1/1/06
Czech Republic,CZE,CZK,62,23.8375,,1/1/06
Denmark,DNK,DKK,27.75,6.1769,,1/1/06
Egypt,EGY,EGP,9.25,5.74,,1/1/06
Euro area,EUZ,EUR,2.91,0.82815735,,1/1/06
Hong Kong,HKG,HKD,12,7.7512,,1/1/06
Hungary,HUN,HUF,560,206.956,,1/1/06
Indonesia,IDN,IDR,14600,9460,,1/1/06
Japan,JPN,JPY,250,114.305,,1/1/06
Malaysia,MYS,MYR,5.5,3.7488,,1/1/06
Mexico,MEX,MXN,28,10.5425,,1/1/06
New Zealand,NZL,NZD,4.45,1.4467,,1/1/06
Peru,PER,PEN,9.5,3.446,,1/1/06
Philippines,PHL,PHP,82,52.58,,1/1/06
Poland,POL,PLN,6.5,3.1151,,1/1/06
Russia,RUS,RUB,46,28.67,,1/1/06
Singapore,SGP,SGD,3.6,1.6353,,1/1/06
South Africa,ZAF,ZAR,13.95,6.0803,,1/1/06
South Korea,KOR,KRW,2500,977.45,,1/1/06
Sweden,SWE,SEK,33,7.7119,,1/1/06
Switzerland,CHE,CHF,6.3,1.2776,,1/1/06
Taiwan,TWN,TWD,75,31.9495,,1/1/06
Thailand,THA,THB,60,39.755,,1/1/06
Turkey,TUR,TRY,4.1,1.3365,,1/1/06
United States,USA,USD,3.15,1,,1/1/06
Venezuela,VEN,VEF,5900,2615.92,,1/1/06
Argentina,ARG,ARS,7,3.0565,,5/1/06
Australia,AUS,AUD,3.25,1.33253,,5/1/06
Brazil,BRA,BRL,6.4,2.3045,,5/1/06
Britain,GBR,GBP,1.94,0.531801744,,5/1/06
Canada,CAN,CAD,3.52,1.12045,,5/1/06
Chile,CHL,CLP,1560,529.95,,5/1/06
China,CHN,CNY,10.5,8.026,,5/1/06
Colombia,COL,COP,6500,2503.6,,5/1/06
Costa Rica,CRI,CRC,1130,509.535,,5/1/06
Czech Republic,CZE,CZK,59.05,22.1078,,5/1/06
Denmark,DNK,DKK,27.75,5.81825,,5/1/06
Egypt,EGY,EGP,9.5,5.77075,,5/1/06
Euro area,EUZ,EUR,2.939573529,0.780365992,,5/1/06
Hong Kong,HKG,HKD,12,7.7533,,5/1/06
Hungary,HUN,HUF,560,206.3444,,5/1/06
Indonesia,IDN,IDR,14600,9325,,5/1/06
Japan,JPN,JPY,250,112.105,,5/1/06
Malaysia,MYS,MYR,5.5,3.6295,,5/1/06
Mexico,MEX,MXN,29,11.3031,,5/1/06
New Zealand,NZL,NZD,4.45,1.62101,,5/1/06
Norway,NOR,NOK,43,6.1023,,5/1/06
Pakistan,PAK,PKR,130,60.055,,5/1/06
Peru,PER,PEN,9.5,3.261,,5/1/06
Philippines,PHL,PHP,85,52.625,,5/1/06
Poland,POL,PLN,6.5,3.09915,,5/1/06
Russia,RUS,RUB,48,27.06375,,5/1/06
Saudi Arabia,SAU,SAR,9,3.749,,5/1/06
Singapore,SGP,SGD,3.6,1.5873,,5/1/06
South Africa,ZAF,ZAR,13.95,6.597,,5/1/06
South Korea,KOR,KRW,2500,952.4,,5/1/06
Sri Lanka,LKA,LKR,190,102.955,,5/1/06
Sweden,SWE,SEK,33,7.28455,,5/1/06
Switzerland,CHE,CHF,6.3,1.20885,,5/1/06
Taiwan,TWN,TWD,75,32.141,,5/1/06
Thailand,THA,THB,60,38.445,,5/1/06
Turkey,TUR,TRY,4.2,1.5415,,5/1/06
UAE,ARE,AED,9,3.6726,,5/1/06
Ukraine,UKR,UAH,8.5,5.05,,5/1/06
United States,USA,USD,3.1,1,,5/1/06
Uruguay,URY,UYU,42.28,23.925,,5/1/06
Venezuela,VEN,VEF,5701.25,2519.58,,5/1/06
Argentina,ARG,ARS,8.25,3.08875,,1/1/07
Australia,AUS,AUD,3.45,1.266865,,1/1/07
Brazil,BRA,BRL,6.4,2.1335,,1/1/07
Britain,GBR,GBP,1.94,0.506034461,,1/1/07
Canada,CAN,CAD,3.63,1.17485,,1/1/07
Chile,CHL,CLP,1670,540.15,,1/1/07
China,CHN,CNY,11,7.7743,,1/1/07
Colombia,COL,COP,6900,2239.325,,1/1/07
Costa Rica,CRI,CRC,1130,509.535,,1/1/07
Czech Republic,CZE,CZK,52.1,21.50115,,1/1/07
Denmark,DNK,DKK,27.75,5.75305,,1/1/07
Egypt,EGY,EGP,9.09,5.7,,1/1/07
Euro area,EUZ,EUR,2.94,0.771813376,,1/1/07
Hong Kong,HKG,HKD,12,7.79845,,1/1/07
Hungary,HUN,HUF,590,194.4237,,1/1/07
Indonesia,IDN,IDR,15900,9090,,1/1/07
Japan,JPN,JPY,280,121.585,,1/1/07
